code;short name;full name;country;url
2080;DB Regio Bus;DB Regio AG Business Unit Bus;DE;
2124;LTG Cargo;AB LTG Cargo;LT;litrail.lt
2125;LDZ Cargo;LDZ Cargo Ltd;LV;http://www.ldz.lv/
2126;Operail;AS Operail;EE;http://www.evrcargo/
2131;BTEG;"""Boldtumur Eruu Gol"" LLC";MN;
2132;NOEVOG;Niederosterreichische Verkehrsorganisationsges m.b.H.;AT;www.noevog.at
2133;CAT;City Air Terminal Betriebsgesellschaft m.b.H;AT;www.cityairporttrain.com
2134;Eurasian Railway Carrier;Eurasian Railway Carrier SP zoo;PL;
2135;CHT HB;Chladek a Tintera Havlickuv Brod, a.s.;CZ;www.chladek-tintera.cz
2136;AXS;Axess Logistics AB;SE;
2137;TDKPL;TDK Plus Sp. z o.o.;PL;
2143;GYSEV CARGO;GYSEV CARGO Zrt.;HU;http://www.gysevcargo.hu/
2144;H-KR;KOMPLEX RAILVasuti Szolgaltato Kft;HU;http://www.komplexrail.hu
2151;PKP CARGO S.A.;PKP Cargo Spółka Akcyjna;PL;https://www.pkpcargo.com
2152;BDZ CARGO;BULGARIAN STATE RAILWAYS CARGO;BG;http://bdzcargo.bdz.bg/
2153;CFR Marfă;Societatea Naţională de Transport Feroviar de Marfă;RO;http://cfr.ro/
2154;ČDC;ČD Cargo, a.s.;CZ;http://www.cdcargo.cz/
2155;RCH;Rail Cargo Hungaria Zrt.;HU;http://www.railcargo.hu/
2156;ZSSK CARGO;Železničná spoločnosť Cargo Slovakia, a.s.;SK;http://www.zscargo.sk/
2162;MC;Montecargo AD;ME;http://www.montecargo.me/
2170;DBCUK;DB Cargo (UK) Ltd;GB;www.uk.dbcargo.com
2171;RENFE MERCANCÍAS;RENFE MERCANCÍAS, S.A;ES;http://www.renfe.com/empresa/mercancias/
2172;SK;Srbija Kargo a.d.;RS;http://www.srbcargo.rs/
2174;Green Cargo;Green Cargo AB;SE;http://www.greencargo.com/
2176;CargoNET AS;CargoNET AS.;;
2178;HŽ-Cargo;HŽ Cargo d.o.o.;HR;http://www.hzcargo.hr/
2179;SŽ - Tovorni promet, d.o.o.;Slovenske železnice - Tovorni promet, d.o.o.;SI;http://www.slo-zeleznice.si/sl/tovorni-promet/
2180;DBCDE;DB Cargo AG;DE;https://www.dbcargo.com/
2181;RCA;Rail Cargo Austria AG;AT;http://www.railcargo.at/
2182;CFL cargo;CFL cargo SA;LU;http://www.cfl.lu/CFLInternet/Espaces/03EspaceFret/
2183;MIR;Mercitalia Rail;IT;http://www.fsitaliane.it/fsi/Il-Gruppo/Societ%C3%A0-del-Gruppo/Mercitalia-Rail/Mercitalia-Rail
2184;DBCNL;DB Cargo Nederland N.V.;NL;http://nl.dbcargo.com/
2185;SBB Cargo;SBB CFF FFS Cargo;CH;http://www.sbbcargo.com/
2186;DBCSC;DB Cargo Scandinavia A/S;DK;http://dk.dbcargo.com/
2187;Fret SNCF;SAS Fret SNCF;FR;http://fret.sncf.com/
2188;LNS;Lineas;BE;http://www.lineas.be
2189;ACF;Administration des chemins de fer luxembourgeois;LU;www.railinfra.lu
2190;Pelkolan Terminaali;Pelkolan Terminaali Oy;FI;
2191;NOVACARB;NOVACARB SAS;FR;www.seqens.com
2192;CLR;Cargo Logistik Rail Service GmbH;DE;http://www.clr-service.de/
2193;Mondi Powerflute;Mondi Powerflute Oy;FI;www.mondigroup.com
2194;Medway;MEDWAY - Operador Ferroviário e Logistico de Mercadorias, SA;PT;
2195;ADRIA RAIL;ADRIA RAIL doo;HR;
2196;Finngas;Finngas FGG GmbH Sivuliike Suomessa;FI;www.finngas.fi
2197;CZD;ČESKÁ ZÁPADNÍ DRÁHA s.r.o.;CZ;
2198;TABOR Rail;TABOR Rail Sp. z o.o.;PL;www.tabor-debica.pl
2199;Hämeenlinnan kaupunki;Hämeenlinnan kaupunki;FI;www.hameenlinna.fi
2243;Raaberbahn Cargo;Raaberbahn Cargo GmbH;AT;https://www.raaberbahn.at/organisation/raaberbahn-cargo-gmbh.html
2248;ZUE;ZUE SA;PL;www.grupazue.pl
2249;Naantalin Satama;Naantalin Satama oy;FI;https://www.portofnaantali.fi/en
2250;Tenutado;Tenutado SK s.r.o.;SK;
2251;PKP LHS;PKP Linia Hutnicza Szerokotorowa Spółka z o.o.;PL;http://www.lhs.com.pl/
2252;HaminaKotka Satama Oy;HaminaKotka Satama Oy / Port of HaminaKotka Ltd;FI;http://www.haminakotka.com
2253;Oiltanking Finland Oy;Oiltanking Finland Oy;FI;www.oiltanking.com
2254;Ovako Imatra;Ovako Imatra Oy Ab;FI;www.ovako.com
2280;DBCITA;DB Cargo Italy Srl;IT;
2282;CFL cargo Deutschland;CFL cargo Deutschland GmbH;DE;http://www.cflcargo.de/
2285;Cargo SI (SBB);Cargo SI;;
2287;CTI;Captrain Italia Srl;IT;http://www.captrain.it/
2343;GYSEV Traction;Győr-Sopron-Ebenfurti Vasút Zrt. Gépészet;HU;https://www2.gysev.hu/
2380;DBCIT;DB Cargo Italia Srl;IT;http://it.dbcargo.com/rail-italia-it/
2382;VIKING Rail;VIKING Rail ApS;DK;http://www.vikingrail.dk/
2385;SBBCD;SBB Cargo Deutschland GmbH;DE;
2387;CTB;Captrain Belgium NV;BE;http://www.captrain.be/
2480;DB Fernverkehr;DB Fernverkehr AG;DE;http://www.deutschebahn.com/
2485;SBBCI;SBB Cargo Italia;IT;http://www.sbbcargo-international.com/it/sbb-cargo-italia-srl-mailand-i-218.html
2580;DB Regio;DB Regio AG;DE;
2585;SBBC Int;SBB Cargo International;CH;http://www.sbbcargo-international.com/
2800;TEKOL;TEKOL Sp z o.o.;PL;https://tekol.pl/
2813;ECCO PL;ECCO Rail Sp Z.o.o.;PL;http://www.ecco-rail.eu/en/transport.php
2910;VR-Track;VR-Track Ltd;FI;http://www.vr-rata.fi/
3000;BCC;Bureau Central de Clearing;BE;http://bcclearing.eu/
3001;Eurofima;European Company for the Financing of Railroad Rolling Stock;CH;http://www.eurofima.org/
3002;Eurail GIE;Eurail Group GIE;NL;http://www.eurailgroup.org/
3003;CER;Community of European Railways;BE;http://www.cer.be/
3005;BTS;Baltijas Tranzita Serviss AG;LV;http://www.rto.lv/en/home/
3006;BE;"JSC ""Baltijas Ekspresis""";LV;http://asbe.lv/
3007;CIT;Comité international des transports ferroviaires;CH;http://www.cit-rail.org/
3008;StL UK;Stena Line UK Ltd;GB;http://www.stenaline.co.uk/ferry/
3009;SERVTRANS;SERVTRANS Invest SA;RO;http://www.servtrans-invest.com/
3010;KEG;Karsdorfer Eisenbahngesellschaft mbH;;
3011;UIC;International Union of Railways;FR;http://www.uic.org/
3012;BSB;Bodensee-Schiffsbetriebe GmbH;DE;http://www.bsb-online.com/
3013;UED;UED Uckermärkische Eisenbahn Dienstleistungs GmbH;DE;https://www.ued-prenzlau.de/
3014;DFG SpA;Del Fungo Giera SpA;;
3015;BYB;BayernBahn Betriebsgesellschaft mbH;DE;http://bayernbahn.de/
3016;evb;EVB Elbe-Weser GmbH;DE;http://www.evb-elbe-weser.de/
3017;CBB;Centralbahn AG;CH;http://www.centralbahn.ch
3018;THI;Thalys International;BE;http://www.thalys.com/
3019;GFR;Grup Feroviar Român SA;RO;http://gfr.ro/
3020;HGK;Häfen und Güterverkehr Köln AG;DE;http://www.hgk.de/
3021;EUROGATE Rail Hungary Zrt;EUROGATE Rail Hungary Szolgáltató Zártkörűen Működő Részvénytársaság;HU;www.eurogate-rail.hu
3022;SNCC;Société Nationale des Chemins de Fer du Congo;CD;http://sncc.cd/
3023;STLB;Steiermärkische Landesbahnen;AT;http://stlb.at/
3024;MMV;Magyar Magánvasút Zrt.;HU;http://www.mmv.hu/
3025;A-Train AB;A-Train AB;SE;http://arlandaexpress.com/
3027;Länstrafiken;Länstrafiken i Norrbotten AB;SE;https://ltnbd.se/
3028;Narvik;Visit Narvik;NO;http://ofotbanen.no/
3029;Viking Line;Viking Line Abp;FI;https://www.vikingline.com/
3030;GVG;Georg Verkehrsorganisation GmbH;DE;http://berlin-night-express.com/
3031;J.P.F.T.;Joopar Passenger & Freight Trains co.;IR;http://www.joopar.com/
3032;VPE;Vasúti Pályakapacitás-elosztó Kft.;HU;http://www2.vpe.hu/
3033;QR;Queensland Rail;;
3034;SLB;Salzburger Lokalbahn AG;;
3035;MBS;Montafonerbahn AG;AT;http://montafonerbahn.at/
3036;GKB;Graz-Köflacher Bahn und Busbetrieb GmbH;AT;http://www.gkb.at/
3037;ZV;Zillertaler Verkehrsbetriebe AG;AT;http://www.zillertalbahn.at/
3039;WLC;Wiener Lokalbahnen Cargo GmbH;AT;http://www.wlb.at/
3041;REG-Eurail;Rail Europe Group Inc;US;http://www.raileurope.com/
3042;RE4A-Eurail;Rail Europe 4A SNC;FR;
3043;Treinreiswinkel;Treinreiswinkel B.V.;NL;http://www.treinreiswinkel.nl/
3044;CIT-Eurail;International Transport Srl;;
3045;ACP-Eurail;ACP Marketing Canada Inc.;CA;http://www.acpmarketing.net/
3046;GTA-Eurail;Gullivers Travel Associates;;
3047;FLC-Eurail;Flight Centre Ltd;;
3048;STA Travel;STA Travel International Ltd;GB;http://www.statravel.fr/
3049;StL Scand;Stena Line Scandinavia AB;;
3050;Vy Tag;Vy Tag AB;SE;http://www.tagkompaniet.se/
3051;Snälltåget;Snälltåget i Sverige;SE;https://www.snalltaget.se
3052;LCR;Low Cost Rail SA;ES;http://www.lcrail.com
3053;Softrans;Softrans Srl;RO;http://www.softrans.ro/
3054;Locon;Locon Logistik & Consulting AG;DE;http://locon-ag.de/
3055;MEG;Mitteldeutsche Eisenbahn GmbH;DE;http://www.meg-bahn.de/
3056;SŽDS;Slovenská železničná dopravná spoločnosť, a.s.;SK;http://www.szds.sk/
3057;BMRC;Bulmarket Rail cargo Ltd;BG;http://bulmarket.bg/
3058;IGE GmbH & Co.KG;Internationale Gesellschaft für Eisenbahnverkehr;DE;http://bahntouristik.de/
3059;EH Güterverkehr;EH Güterverkehr GmbH;DE;http://www.eisenbahn-und-haefen-gmbh.de/
3060;VTR Rail;VTR Rail B.V.;NL;
3061;Valkeakosken kaupunki;Valkeakosken kaupunki;FI;www.valkeakoski.fi
3062;ATTICA Group International lines;Blue Star Ferries Maritimes S.A. & Co Joint Venture.;GR;http://www.attica-group.com/
3063;RTS;RTS Rail Transport Service GmbH;AT;http://www.rts-rail.com/
3064;ATTICA Group Domestic lines;Blue Star Ferries Maritimes S.A. & Co Joint Venture;GR;http://www.attica-group.com/
3066;Seafrance;Seafrance;;
3067;RLG;Regionalverkehr Ruhr-Lippe GmbH;DE;http://rlg-online.de/
3068;WLE;Westfälische Landes-Eisenbahn GmbH;DE;http://wle-online.de/
3069;RVM;Regionalverkehr Münsterland GmbH;DE;http://rvm-online.de/
3070;MWB;Mittelweserbahn GmbH;DE;http://www.mittelweserbahn.de/
3071;EVG;Eifelbahn Verkehrsgesellschaft mbH;DE;http://www.zugtouren.de/
3072;VPS;Verkehrsbetriebe Peine-Salzgitter GmbH;DE;http://www.vps-bahn.de/
3073;RHEB;Rheinhessische Eisenbahn GmbH;;
